"Order number";"Order date";"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Expenses";"Net profit";"Margin";"ROI";"Coupon";"Comment"
"111-1930549-7744231 / Unshipped / COG: 0 / FBA";"09.06.2026";"Romantic Wedding Gift for Couple, Wooden Heart Tree Tabletop Decor with “Our Adventure Begins”, Wedding Gift for Husband Wife, Engagement Bridal Shower Newlywed Home Decor / Price: 9.99";"B0H1LJX4T9";"WEDDING_DEVOM_OURADVENTUREBEGIN";"1";"";"9.99";"";"";"";"-4.88";"";"";"5.11";"";"5.11";"51.15";"";"";""
"114-2372898-7032201 / Unshipped / COG: 0 / FBA";"09.06.2026";"Bible Verse Jar, Christian Gifts for Women, Inspirational Scriptures for Women, Daughters, Bible Accessories, Father Day Gifts, Decorative Glass Inspirational Scripture Jar, Bible Jar / Price: 8.98";"B0CYGVKSGQ";"bible jar-01";"1";"";"8.98";"";"";"";"-4.73";"";"";"4.25";"";"4.25";"47.33";"";"";""
"114-5796333-4753022 / Unshipped / COG: 0 / FBA";"09.06.2026";"250th Anniversary Decorations for Home, Patriotic Eagle Door Sign, America 250th Birthday Decor, Fourth of July Decorations, USA Independence Day Hanging Wall Decor, Patriotic Decorations / Price: 13.99";"B0GZGMLGDD";"250TH_DOORSIGN_DAIBANG";"1";"";"13.99";"";"";"";"-5.76";"";"";"8.23";"";"8.23";"58.83";"";"";""
"111-9276581-7218604 / Unshipped / COG: 1 / FBA";"09.06.2026";"50 Positive Messages in Bottle,Anxiety Relief Items, Stress Relief, Self Care Kit for Mediation,Positive Affirmation Gifts for Women, Self Care Kit for Mediation, Unique Health and Wellness Gifts / Price: 15.98";"B0CSJZLTP5";"LY-IU2S-D65B";"1";"";"15.98";"";"";"";"-6.51";"-1";"";"8.47";"";"8.47";"53.00";"847.00";"";""
"112-9590766-3254613 / Unshipped / COG: 0 / FBA";"09.06.2026";"Nursing 2026 Graduation Gift, Nurse Gifts for Women, Nursing Ornament, Appreciation Gifts for Women, New Nurse Gift, Gifts for Nurses / Price: 9.98";"B0F62HNF16";"ONM_NURSE";"2";"";"19.96";"";"";"";"-9.28";"";"";"10.68";"";"10.68";"53.51";"";"";""
"112-3963113-3764252 / Unshipped / COG: 0 / FBA";"09.06.2026";"Magnetic Acrylic Car Visor Photo Clip, Father's Day, Birthday Gift For Dad, Picture Holder with Love Message, Drive Safe Car Accessory For Dad, Best Dad Ever Gifts, Birthday Gifts from Daughter / Price: 9.98";"B0F8VBSG3T";"CARVISOR_DAD";"2";"";"19.96";"";"";"";"-8.99";"";"";"10.97";"";"10.97";"54.96";"";"";""
"113-2376011-5809054 / Unshipped / COG: 1.5 / FBA";"09.06.2026";"Badass Affirmation Jar, Inspirational Gift, Daily Affirmations for Women, Funny Affirmation Cards, Birthday Gifts for Her, Women, Valentines Day Gifts / Price: 11.99";"B0DM93RNKC";"bible jar_03";"1";"";"11.99";"";"";"";"-6.33";"-1.5";"";"4.16";"";"4.16";"34.70";"277.33";"";""
"111-2579238-5366605 / Unshipped / COG: 3 / FBA";"09.06.2026";"Musemory Magnetic Reward Jar, 9"" DIY Name 40+ Tokens Star Face Magnetic Reward Jar Gifts for Classroom, Classroom Management Tool, Reward Jars for Kids Magnetic, Back to School Gift for Kids / Price: 21.98";"B0FBM5TDLH";"REWARDJAR_STAR";"1";"";"21.98";"";"";"";"-7.68";"-3";"";"11.30";"";"11.30";"51.41";"376.67";"";""
"112-7993497-3505063 / Unshipped / COG: 0 / FBA";"09.06.2026";"Magnetic Acrylic Car Visor Photo Clip, Father's Day, Birthday Gift For Dad, Picture Holder with Love Message, Drive Safe Car Accessory For Dad, Best Dad Ever Gifts, Birthday Gifts from Daughter / Price: 9.98";"B0F8VBSG3T";"CARVISOR_DAD";"1";"";"9.98";"";"";"";"-4.5";"";"";"5.48";"";"5.48";"54.91";"";"";""
"111-4173741-4034647 / Unshipped / COG: 0 / FBA";"09.06.2026";"Musemory America 250 Keychain 1776–2026 – Patriotic USA Keychain Set, 4th of July Independence Day Gift, Eagle Liberty Bell Flag Acrylic Keyring, American Anniversary Souvenir / Price: 8.98";"B0GVYF16BT";"250TH_KEYCHAIN_DAIBANG";"1";"";"8.98";"";"";"";"-1.48";"";"";"7.50";"";"7.50";"83.52";"";"";""
"111-7417952-2201041 / Unshipped / COG: 1.5 / FBA";"09.06.2026";"Badass Affirmation Jar, Inspirational Gift, Daily Affirmations for Women, Funny Affirmation Cards, Birthday Gifts for Her, Women, Valentines Day Gifts / Price: 11.99";"B0DM93RNKC";"bible jar_03";"1";"";"11.99";"";"";"";"-6.33";"-1.5";"";"4.16";"";"4.16";"34.70";"277.33";"";""
"113-2060423-1527463 / Unshipped / COG: 0 / FBA";"09.06.2026";"Magnetic Acrylic Car Visor Photo Clip, Father's Day, Birthday Gift For Dad, Picture Holder with Love Message, Drive Safe Car Accessory For Dad, Best Dad Ever Gifts, Birthday Gifts from Daughter / Price: 9.98";"B0F8VBSG3T";"CARVISOR_DAD";"1";"";"9.98";"";"";"";"-4.5";"";"";"5.48";"";"5.48";"54.91";"";"";""
"112-6467576-3168216 / Unshipped / COG: 0 / FBA";"09.06.2026";"250th Anniversary USA Ornament 1776 –2026, America 250 Eagle Patriotic Tabletop Decoration, 4th of JulyDecorations, Patriotic Gift for Veterans Independence Day / Price: 12.98";"B0GVYTQLYB";"DESK-DECOR_AMERICA250";"1";"";"12.98";"";"";"";"-5.67";"";"";"7.31";"";"7.31";"56.32";"";"";""
"112-7553608-5084221 / Unshipped / COG: 0 / FBA";"09.06.2026";"Dad Joke Jar, Gifts Set with Card Hat, Gag Gift for Men, Joke Cards Jar, Fathers Day Gift, Birthday Present for Husband, Fun Family Game Night Humor Kit / Price: 7.98";"B0GWQF4FM6";"FATHERDAY_DADJOKESJAR";"1";"";"7.98";"";"";"";"-4.34";"";"";"3.64";"";"3.64";"45.61";"";"";""
"114-5034047-2613026 / Shipped / COG: 0 / FBA";"09.06.2026";"250th Anniversary USA Ornament 1776 –2026, America 250 Eagle Patriotic Tabletop Decoration, 4th of JulyDecorations, Patriotic Gift for Veterans Independence Day / Price: 12.98";"B0GVYTQLYB";"DESK-DECOR_AMERICA250";"1";"";"12.98";"";"";"";"-5.65";"";"";"7.33";"";"7.33";"56.47";"";"";""
"111-9134282-0443451 / Unshipped / COG: 0 / FBA";"09.06.2026";"Best Dad Ever American Flag Hat / Price: 17.98";"B0GY4JSS94";"FATHERDAY_BESTDADEVERHAT";"1";"";"17.98";"";"";"";"-2.97";"";"";"15.01";"";"15.01";"83.48";"";"";""
"112-8018162-2239423 / Unshipped / COG: 0 / FBA";"09.06.2026";"250th Anniversary Decorations for Home, Patriotic Door Sign, America 250th Birthday Decor, Fourth of July Decorations, USA 1776-2026 Hanging Wall Plaque, Patriotic Decorations for Front Door / Price: 11.99";"B0GZHBKGCM";"250TH_DOORSIGN_250THANNIVERSARY";"1";"";"11.99";"";"";"";"-5.62";"";"";"6.37";"";"6.37";"53.13";"";"";""
"113-0465479-7965857 / Unshipped / COG: 0 / FBA";"09.06.2026";"Dad Joke Jar, Gifts Set with Card Hat, Gag Gift for Men, Joke Cards Jar, Fathers Day Gift, Birthday Present for Husband, Fun Family Game Night Humor Kit / Price: 7.98";"B0GWQF4FM6";"FATHERDAY_DADJOKESJAR";"1";"";"7.98";"";"";"";"-4.34";"";"";"3.64";"";"3.64";"45.61";"";"";""
"113-6553881-2087431 / Unshipped / COG: 0 / FBA";"09.06.2026";"250th Anniversary Decorations for Home, Patriotic Eagle Door Sign, America 250th Birthday Decor, Fourth of July Decorations, USA Independence Day Hanging Wall Decor, Patriotic Decorations / Price: 13.99";"B0GZGMLGDD";"250TH_DOORSIGN_DAIBANG";"1";"";"13.99";"";"";"";"-5.76";"";"";"8.23";"";"8.23";"58.83";"";"";""
