"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage";"Average Sales Price"
"Magnetic Acrylic Car Visor Photo Clip, Father's Day, Birthday Gift For Dad, Picture Holder with Love Message, Drive Safe Car Accessory For Dad, Best Dad Ever Gifts, Birthday Gifts from Daughter COG: 0 / Price: 9.98";"B0F8VBSG3T";"CARVISOR_DAD";"8";"";"79.84";"";"-1.55";"-1.55";"";"";"";"";"";"";"-";"";"-36.03";"";"";"42.26";"42.26";"42.26";"";"52.93";"";"2 408";"1.94";"";"";"9.98"
"Romantic Wedding Gift for Couple, Wooden Heart Tree Tabletop Decor with “Our Adventure Begins”, Wedding Gift for Husband Wife, Engagement Bridal Shower Newlywed Home Decor COG: 0 / Price: 9.99";"B0H1LJX4T9";"WEDDING_DEVOM_OURADVENTUREBEGIN";"6";"";"59.94";"";"-36.61";"-36.61";"";"";"";"";"";"";"-";"";"-29.29";"";"";"-5.96";"-5.96";"-5.96";"";"-9.94";"";"1 659";"61.08";"";"";"9.99"
"Dad Joke Jar, Gifts Set with Card Hat, Gag Gift for Men, Joke Cards Jar, Fathers Day Gift, Birthday Present for Husband, Fun Family Game Night Humor Kit COG: 0 / Price: 7.98";"B0GWQF4FM6";"FATHERDAY_DADJOKESJAR";"5";"";"39.9";"";"-11.78";"-11.78";"";"";"";"";"";"";"-";"";"-21.68";"";"";"6.44";"6.44";"6.44";"";"16.14";"";"2 520";"29.52";"";"";"7.98"
"Musemory Magnetic Reward Jar, Personalized Smiley Tokens Reward Jar for Kids, DIY, Reward Jar, Classroom Management Tool, Reward Jars for Kids Magnetic, Back to School Gift for Kids COG: 3 / Price: 15.98";"B0F5V9Z11R";"UY-AO7W-2FWB";"4";"";"63.92";"";"-23.36";"-17.04";"";"";"-6.32";"";"";"";"-";"";"-25";"-12";"";"3.56";"3.56";"15.56";"";"5.57";"29.67";"2 072";"36.55";"";"";"15.98"
"Musemory 60 Positive Cards Turtle Jar, Affirmation Cards For Women, Friendship Gift, Best Friend Gift, Positive Decor, Sea Turtle Gifts, Card Turtle for Her, Decoration For Home Office COG: 1.2 / Price: 13.99";"B0F9PGKBX2";"POSITIVEJAR_TURTLE";"3";"";"41.97";"";"-25.06";"-25.06";"";"";"";"";"";"";"-";"";"-18.53";"-3.6";"";"-5.22";"-5.22";"-1.62";"";"-12.44";"-145.00";"47 473";"59.71";"";"";"13.99"
"250th Anniversary USA Ornament 1776 –2026, America 250 Eagle Patriotic Tabletop Decoration, 4th of JulyDecorations, Patriotic Gift for Veterans Independence Day COG: 0 / Price: 12.98";"B0GVYTQLYB";"DESK-DECOR_AMERICA250";"3";"";"38.94";"";"-20.44";"-20.44";"";"";"";"";"";"";"";"";"-16.99";"";"";"1.51";"1.51";"1.51";"";"3.88";"";"3 187";"52.49";"";"";"12.98"
"250th Anniversary Decorations for Home, Patriotic Eagle Door Sign, America 250th Birthday Decor, Fourth of July Decorations, USA Independence Day Hanging Wall Decor, Patriotic Decorations COG: 0 / Price: 13.99";"B0GZGMLGDD";"250TH_DOORSIGN_DAIBANG";"3";"";"41.97";"";"-10.5";"-10.5";"";"";"";"";"";"";"-";"";"-17.28";"";"";"14.19";"14.19";"14.19";"";"33.81";"";"1 922";"25.02";"";"";"13.99"
"Scratch Off Map of United States, All 63 US National Parks Scratch Off Poster, Scratch Off World Map, Travel Scratch Off Map, Us Map for Travel Tracking, Valentine Gift, Valentine Gifts For Her, Valentine Gift For Men COG: 0 / Price: 17.89";"B0DJR4343W";"PU-2DN9-R32Y";"2";"";"35.78";"";"-7.1";"-7.1";"";"";"";"";"";"";"-";"";"-14.61";"";"";"14.07";"14.07";"14.07";"";"39.32";"";"366 791";"19.84";"";"";"17.89"
"Badass Affirmation Jar, Inspirational Gift, Daily Affirmations for Women, Funny Affirmation Cards, Birthday Gifts for Her, Women, Valentines Day Gifts COG: 1.5 / Price: 11.99";"B0DM93RNKC";"bible jar_03";"2";"";"23.98";"";"-3.2";"-3.2";"";"";"";"";"";"";"-";"";"-12.66";"-3";"";"5.12";"5.12";"8.12";"";"21.35";"170.67";"1 488";"13.34";"";"";"11.99"
"Nursing 2026 Graduation Gift, Nurse Gifts for Women, Nursing Ornament, Appreciation Gifts for Women, New Nurse Gift, Gifts for Nurses COG: 0 / Price: 9.98";"B0F62HNF16";"ONM_NURSE";"2";"1";"19.96";"";"-6.2";"-6.2";"";"";"";"";"";"50.00";"-";"-6.05";"-9.28";"";"";"-1.57";"-1.57";"-1.57";"";"-7.87";"";"2 303";"31.06";"";"";"9.98"
