"ASIN";"SKU";"Title";"Labels";"CostPeriodStartDate";"Cost";"DomesticShippingCost";"RestofworldShippingCost";"ShippingProfile";"Value_of_unsellable_returns";"VAT";"VAT_CATEGORY";"Hide";"Marketplace";"BatchQuantity"
"B0F9PGKBX2";"POSITIVEJAR_TURTLE";"Musemory 60 Positive Cards Turtle Jar, Affirmation Cards For Women, Friendship Gift, Best Friend Gift, Positive Decor, Sea Turtle Gifts, Card Turtle for Her, Decoration For Home Office";"#FBA";"";"1.2";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0F8VBSG3T";"CARVISOR_DAD";"Magnetic Acrylic Car Visor Photo Clip, Father's Day, Birthday Gift For Dad, Picture Holder with Love Message, Drive Safe Car Accessory For Dad, Best Dad Ever Gifts, Birthday Gifts from Daughter";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0F62HNF16";"ONM_NURSE";"Nursing 2026 Graduation Gift, Nurse Gifts for Women, Nursing Ornament, Appreciation Gifts for Women, New Nurse Gift, Gifts for Nurses";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0H1LJX4T9";"WEDDING_DEVOM_OURADVENTUREBEGIN";"Romantic Wedding Gift for Couple, Wooden Heart Tree Tabletop Decor with “Our Adventure Begins”, Wedding Gift for Husband Wife, Engagement Bridal Shower Newlywed Home Decor";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0F5V9Z11R";"UY-AO7W-2FWB";"Musemory Magnetic Reward Jar, Personalized Smiley Tokens Reward Jar for Kids, DIY, Reward Jar, Classroom Management Tool, Reward Jars for Kids Magnetic, Back to School Gift for Kids";"#FBA";"";"3";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GVYTQLYB";"DESK-DECOR_AMERICA250";"250th Anniversary USA Ornament 1776 –2026, America 250 Eagle Patriotic Tabletop Decoration, 4th of JulyDecorations, Patriotic Gift for Veterans Independence Day";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GWQF4FM6";"FATHERDAY_DADJOKESJAR";"Dad Joke Jar, Gifts Set with Card Hat, Gag Gift for Men, Joke Cards Jar, Fathers Day Gift, Birthday Present for Husband, Fun Family Game Night Humor Kit";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GZGMLGDD";"250TH_DOORSIGN_DAIBANG";"250th Anniversary Decorations for Home, Patriotic Eagle Door Sign, America 250th Birthday Decor, Fourth of July Decorations, USA Independence Day Hanging Wall Decor, Patriotic Decorations";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GS645DBF";"HANDPRINT_SIGN_DAD";"Best Dad Ever Gifts from Kids, Fathers Day Gift for Dad, Personalized Style Wooden Plaque Decor, Hands Down Love Dad Sign, Birthday Gift for Father, DIY Handprint Kids";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GZHBKGCM";"250TH_DOORSIGN_250THANNIVERSARY";"250th Anniversary Decorations for Home, Patriotic Door Sign, America 250th Birthday Decor, Fourth of July Decorations, USA 1776-2026 Hanging Wall Plaque, Patriotic Decorations for Front Door";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GXKRXV5H";"250TH_KEYCHAIN_CHUONG";"Musemory America 250 Keychain 1776–2026 – Patriotic USA Keychain Set, 4th of July Independence Day Gift, Eagle Liberty Bell Flag Acrylic Keyring, American Anniversary Souvenir";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0H2LZQHTH";"250TH_GNOME_AMERICA250";"America 250 Patriotic Gnome Decor, USA 250th Anniversary Decoration 1776-2026, Independence Day Wooden Tabletop Sign, Liberty Bell & We The People Gnome Display, Patriotic Home Office Shelf Decor";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0DM93RNKC";"bible jar_03";"Badass Affirmation Jar, Inspirational Gift, Daily Affirmations for Women, Funny Affirmation Cards, Birthday Gifts for Her, Women, Valentines Day Gifts";"#FBA";"";"1.5";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
