order_number_clean,sku_clean,units_api,refunds_api,sales_api,promo_api,refund_cost_api,amazon_fees_api,cost_of_goods_api,shipping_api,gross_profit_api,net_profit_api,margin_api,roi_api,expenses_api,units_sb,refunds_sb,sales_sb,promo_sb,refund_cost_sb,amazon_fees_sb,cost_of_goods_sb,shipping_sb,gross_profit_sb,net_profit_sb,margin_sb,roi_sb,expenses_sb,delta_units,delta_refunds,delta_sales,delta_promo,delta_refund_cost,delta_amazon_fees,delta_cost_of_goods,delta_shipping,delta_gross_profit,delta_net_profit,delta_margin,delta_roi,delta_expenses
111-1450394-6262601,POSITIVEJAR_TURTLE,1.0,0.0,13.99,0.0,0.0,-5.96,-1.2,0.0,6.83,6.83,48.82,569.17,0.0,1.0,0.0,13.99,0.0,0.0,-6.19,-1.2,0.0,6.6,6.6,47.18,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.23,0.23,1.64,19.17,0.0
111-2014313-1668210,HANDPRINT_SIGN_DAD,7.0,0.0,76.86,0.0,0.0,-34.21,0.0,0.0,42.65,42.65,55.49,0.0,0.0,7.0,0.0,76.86,0.0,0.0,-12.71,0.0,0.0,64.15,64.15,83.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.5,0.0,0.0,-21.5,-21.5,-27.97,0.0,0.0
111-2127336-8093009,POSITIVEJAR_TURTLE,1.0,0.0,13.99,0.0,0.0,-5.96,-1.2,0.0,6.83,6.83,48.82,569.17,0.0,1.0,0.0,13.99,0.0,0.0,-6.17,-1.2,0.0,6.62,6.62,47.32,551.67,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.21,0.21,1.5,17.5,0.0
111-3103148-7788264,250TH_KEYCHAIN_DAIBANG,1.0,0.0,8.98,0.0,0.0,-4.59,0.0,0.0,4.39,4.39,48.89,0.0,0.0,1.0,0.0,8.98,0.0,0.0,-1.48,0.0,0.0,7.5,7.5,83.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.11,0.0,0.0,-3.11,-3.11,-34.63,0.0,0.0
111-3260953-1080206,FATHERDAY_BESTDADEVERHAT,1.0,0.0,17.98,0.0,0.0,-5.94,0.0,0.0,12.04,12.04,66.96,0.0,0.0,1.0,0.0,17.98,0.0,0.0,-7.73,0.0,0.0,10.25,10.25,57.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,1.79,1.79,9.95,0.0,0.0
111-3760362-0965828,CARVISOR_DAD,1.0,0.0,9.98,0.0,0.0,-4.37,0.0,0.0,5.61,5.61,56.21,0.0,0.0,1.0,0.0,9.98,0.0,0.0,-4.52,0.0,0.0,5.46,5.46,54.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.15,1.5,0.0,0.0
111-4217657-3282641,ONM_NURSE,1.0,0.0,9.98,0.0,0.0,-4.51,0.0,0.0,5.47,5.47,54.81,0.0,0.0,1.0,0.0,9.98,0.0,0.0,-4.66,0.0,0.0,5.32,5.32,53.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.15,1.5,0.0,0.0
111-4376112-3764210,POSITIVEJAR_TURTLE,1.0,0.0,13.99,0.0,0.0,-5.96,-1.2,0.0,6.83,6.83,48.82,569.17,0.0,1.0,0.0,13.99,0.0,0.0,-6.17,-1.2,0.0,6.62,6.62,47.32,551.67,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.21,0.21,1.5,17.5,0.0
111-5499295-7612231,bible jar_03,1.0,0.0,11.99,0.0,0.0,-6.15,-1.5,0.0,4.34,4.34,36.2,289.33,0.0,1.0,0.0,11.99,0.0,0.0,-6.33,-1.5,0.0,4.16,4.16,34.7,277.33,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.18,1.5,12.0,0.0
111-6111722-5417030,FATHERDAY_DADJOKESJAR,1.0,0.0,7.98,0.0,0.0,-4.21,0.0,0.0,3.77,3.77,47.24,0.0,0.0,1.0,0.0,7.98,0.0,0.0,-4.33,0.0,0.0,3.65,3.65,45.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.12,1.5,0.0,0.0
