asin_clean,sku_clean,units_api,refunds_api,sales_api,promo_api,ads_api,sponsored_products_api,sponsored_display_api,sponsored_brands_api,sponsored_brands_video_api,google_ads_api,facebook_ads_api,refunds_pct_api,sellable_quota_api,refund_cost_api,amazon_fees_api,cost_of_goods_api,shipping_api,gross_profit_api,net_profit_api,estimated_payout_api,expenses_api,margin_api,roi_api,bsr_api,real_acos_api,sessions_api,unit_session_pct_api,average_sales_price_api,units_sb,refunds_sb,sales_sb,promo_sb,ads_sb,sponsored_products_sb,sponsored_display_sb,sponsored_brands_sb,sponsored_brands_video_sb,google_ads_sb,facebook_ads_sb,refunds_pct_sb,sellable_quota_sb,refund_cost_sb,amazon_fees_sb,cost_of_goods_sb,shipping_sb,gross_profit_sb,net_profit_sb,estimated_payout_sb,expenses_sb,margin_sb,roi_sb,bsr_sb,real_acos_sb,sessions_sb,unit_session_pct_sb,average_sales_price_sb,delta_units,delta_refunds,delta_sales,delta_promo,delta_ads,delta_sponsored_products,delta_sponsored_display,delta_sponsored_brands,delta_sponsored_brands_video,delta_google_ads,delta_facebook_ads,delta_refunds_pct,delta_sellable_quota,delta_refund_cost,delta_amazon_fees,delta_cost_of_goods,delta_shipping,delta_gross_profit,delta_net_profit,delta_estimated_payout,delta_expenses,delta_margin,delta_roi,delta_bsr,delta_real_acos,delta_sessions,delta_unit_session_pct,delta_average_sales_price
,CARD_MOM,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.44,0.0,0.0,0.0,0.0,-3.44,-3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.44,0.0,0.0,0.0,0.0,-3.44,-3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ONM_DRAGONFLY_2PCS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.06,0.0,0.0,0.0,0.0,-6.06,-6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.06,0.0,0.0,0.0,0.0,-6.06,-6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0CSJZLTP5,LY-IU2S-D65B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,222995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,-222995.0,0.0,0.0,0.0,0.0
B0CYGVKSGQ,bible jar-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.55,-1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.55,-1.55,-1.55,0.0,0.0,0.0,3313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,1.55,1.55,0.0,0.0,0.0,-3313.0,0.0,0.0,0.0,0.0
B0DJR4343W,PU-2DN9-R32Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.05,-4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.05,-4.05,-4.05,0.0,0.0,0.0,191682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,4.05,4.05,0.0,0.0,0.0,-191682.0,0.0,0.0,0.0,0.0
B0DM93RNKC,bible jar_03,1.0,0.0,0.0,0.0,-5.17,-5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,-1.5,-6.67,0.0,0.0,0.0,-444.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.99,0.0,-5.17,-5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.33,-1.5,0.0,-1.01,-1.01,0.49,0.0,-8.42,-67.33,1568.0,43.12,0.0,0.0,11.99,0.0,0.0,-11.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,0.0,0.0,-0.49,-5.66,-0.49,0.0,8.42,-377.34,-1568.0,-43.12,0.0,0.0,-11.99
B0F18ZH23W,BIBLEJAR_DAD,2.0,0.0,0.0,0.0,-5.56,-4.1,0.0,-1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.96,0.0,-4.1,-4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.52,0.0,0.0,6.34,6.34,6.34,0.0,31.76,0.0,7055.0,20.54,0.0,0.0,9.98,0.0,0.0,-19.96,0.0,-1.46,0.0,0.0,-1.46,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,0.0,-6.34,-11.9,-6.34,0.0,-31.76,0.0,-7055.0,-20.54,0.0,0.0,-9.98
B0F192CQ83,HEARTJAR_DAD,1.0,0.0,7.98,0.0,-0.5,-0.46,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,-4.44,0.0,0.0,3.54,3.04,3.54,0.0,38.1,0.0,0.0,6.27,0.0,0.0,7.98,1.0,0.0,7.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.56,0.0,0.0,3.42,3.42,3.42,0.0,42.86,0.0,1568.0,0.0,0.0,0.0,7.98,0.0,0.0,0.0,0.0,-0.5,-0.46,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,-0.38,0.12,0.0,-4.76,0.0,-1568.0,6.27,0.0,0.0,0.0
B0F2T9B1Y2,CS-S8XU-RCDA,1.0,0.0,5.89,0.0,-0.85,-0.82,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,-4.12,0.0,0.0,1.77,0.92,1.77,0.0,15.62,0.0,0.0,14.43,0.0,0.0,5.89,1.0,0.0,5.89,0.0,-0.48,-0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.49,0.0,0.0,1.92,1.92,1.92,0.0,32.6,0.0,23637.0,8.15,0.0,0.0,5.89,0.0,0.0,0.0,0.0,-0.37,-0.34,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,0.0,0.0,-0.15,-1.0,-0.15,0.0,-16.98,0.0,-23637.0,6.28,0.0,0.0,0.0
B0F5V9C58F,CARD_MOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.44,0.0,0.0,0.0,-3.44,-3.44,-3.44,0.0,0.0,0.0,745253.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,3.44,3.44,3.44,0.0,0.0,0.0,-745253.0,0.0,0.0,0.0,0.0
